"<img src=""Front"">"	Thai	Phonetic	Translation	Grammar	Vocabulary	Audio	Module
"<img src=""Oh My Ghost_S01E07_Episode 7.th.closedcaptions_00h45m34s405ms-00h45m38s445ms.avif"">"	ถ้าเธอจะรู้จักเก็บคำพูดฉันไปทำตามบ้าง เรื่องมันก็ไม่บานปลายอย่างนี้หรอก	tâa təə jà rúu-jàk gèp kam-pûut chǎn bpai tam-dtaam bâang rʉ̂ang man gɔ̂ɔ mâi baan-bplaai yàang-níi rɔ̀ɔk	If you had listened to me, this wouldn't have escalated like this	ถ้า...ก็ conditional: "if...then". Shows hypothetical - if you listened (ถ้า), then it wouldn't (ก็ไม่) escalate	บานปลาย (baan-bplaai): escalate/blow up; รู้จักเก็บ (rúu-jàk gèp): know to keep/save; คำพูด (kam-pûut): words	[sound:Oh My Ghost_S01E07_Episode 7.th.closedcaptions_00h45m34s405ms-00h45m38s445ms.ogg]	1.1
"<img src=""The Bride of Naga_S01E10_Episode 10.th.closedcaptions_00h50m30s200ms-00h50m34s960ms.avif"">"	ถ้าเจ้าอยากจบเรื่องนี้ เจ้าก็ต้องจบเรื่องนี้ด้วยตัวของเจ้าเอง	tâa jâo yàak jòp rʉ̂ang níi jâo gɔ̂ɔ dtɔ̂ng jòp rʉ̂ang níi dûai dtua kɔ̌ɔng jâo eeng	If you want to end this, you must do it yourself	ถ้า...ก็ต้อง: "if...then must". Conditional necessity - if condition met, then obligation follows	เจ้า (jâo): you (formal/archaic); จบ (jòp): end/finish; ด้วยตัวเอง (dûai dtua-eeng): by yourself	[sound:The Bride of Naga_S01E10_Episode 10.th.closedcaptions_00h50m30s200ms-00h50m34s960ms.ogg]	1.1
"<img src=""Love You My Arrogance 2020 - H264 AAC.th.subtitles_00h36m31s560ms-00h36m34s720ms.avif"">"	ถ้าคุณอยากรู้ คุณก็แค่หยิบโทรศัพท์ขึ้นมาแล้วเซิร์ชกูเกิลดูสิ	tâa kun yàak rúu kun gɔ̂ɔ kɛ̂ɛ yìp too-rá-sàp kʉ̂n maa lɛ́ɛo sə̂ət guu-gəən duu sì	If you want to know, just pick up your phone and Google it	ถ้า...ก็แค่: "if...then just". Shows simple solution - if you want X, then simply do Y	เซิร์ช (sə̂ət): search; กูเกิล (guu-gəən): Google; หยิบ (yìp): pick up; แค่ (kɛ̂ɛ): just/only	[sound:Love You My Arrogance 2020 - H264 AAC.th.subtitles_00h36m31s560ms-00h36m34s720ms.ogg]	1.1
"<img src=""Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h30m43s525ms-00h30m47s845ms.avif"">"	แต่ถ้าลุงเด่นไม่ขโมยรถ เรื่องราวทั้งหมดมันก็ไม่เกิดอะไรขึ้นเลยนะ	dtɛ̀ɛ tâa lung dèn mâi kà-mooi rót rʉ̂ang-raao táng-mòt man gɔ̂ɔ mâi gə̀ət à-rai kʉ̂n ləəi ná	But if Uncle Den hadn't stolen the car, none of this would have happened	แต่ถ้า...ก็ไม่: "but if...then wouldn't". Counterfactual conditional - contrary to what actually happened	ขโมย (kà-mooi): steal; เรื่องราว (rʉ̂ang-raao): story/events; เกิดขึ้น (gə̀ət-kʉ̂n): happen/occur	[sound:Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h30m43s525ms-00h30m47s845ms.ogg]	1.1
"<img src=""Remember You_S01E15_Brothers.th.closedcaptions_00h22m05s480ms-00h22m09s440ms.avif"">"	เมื่อก่อนนายก็ชอบเดินตามพี่ แล้วก็ชอบให้พี่หานู่นหานี่ให้ประจำเลย	mʉ̂a-gɔ̀ɔn naai gɔ̂ɔ chɔ̂ɔp dəən dtaam pîi lɛ́ɛo gɔ̂ɔ chɔ̂ɔp hâi pîi hǎa nûun hǎa nîi hâi bprà-jam ləəi	Before, you used to follow me and always asked me to get things for you	เมื่อก่อน...ก็: "when (in past)...then". Past habitual pattern - what used to happen regularly	เมื่อก่อน (mʉ̂a-gɔ̀ɔn): before/in the past; เดินตาม (dəən-dtaam): follow; หานู่นหานี่ (hǎa nûun hǎa nîi): find this and that	[sound:Remember You_S01E15_Brothers.th.closedcaptions_00h22m05s480ms-00h22m09s440ms.ogg]	1.1
"<img src=""Hormones_S01E11_Episode 11.th.closedcaptions_00h01m28s520ms-00h01m32s480ms.avif"">"	แล้วพออ่านจบ คนที่อ่านก็ต้องเล่าเรื่องที่ตัวเองอ่านให้คนถัดไปฟัง	lɛ́ɛo pɔɔ àan jòp kon tîi àan gɔ̂ɔ dtɔ̂ng lâo rʉ̂ang tîi dtua-eeng àan hâi kon tàt-bpai fang	As soon as they finish reading, they must tell what they read to the next person	พอ...ก็: "as soon as...then". Immediate consequence - the moment X happens, Y follows	พอ (pɔɔ): as soon as/when; จบ (jòp): finish; เล่า (lâo): tell/narrate; ถัดไป (tàt-bpai): next	[sound:Hormones_S01E11_Episode 11.th.closedcaptions_00h01m28s520ms-00h01m32s480ms.ogg]	1.1
"<img src=""I Need Romance_S01E14_Episode 14.th.closedcaptions_00h04m02s160ms-00h04m06s840ms.avif"">"	แต่ถึงอย่างนั้น ฉันก็รู้สึกสบายใจที่ไม่ต้องใส่หน้ากากเข้าหากัน	dtɛ̀ɛ tʉ̌ng yàang-nán chǎn gɔ̂ɔ rúu-sʉ̀k sà-baai-jai tîi mâi dtɔ̂ng sài nâa-gàak kâo hǎa gan	Nevertheless, I still felt comfortable not having to pretend with each other	ถึง...ก็: "even though...still". Concessive - despite X being true, Y is also true	ถึงอย่างนั้น (tʉ̌ng yàang-nán): nevertheless/even so; หน้ากาก (nâa-gàak): mask/pretense; สบายใจ (sà-baai-jai): comfortable	[sound:I Need Romance_S01E14_Episode 14.th.closedcaptions_00h04m02s160ms-00h04m06s840ms.ogg]	1.1
"<img src=""Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h26m50s765ms-00h26m54s365ms.avif"">"	ก็เมื่อวานไงครับ เมื่อวานเขาขู่ผม	gɔ̂ɔ mʉ̂a-waan ngai kráp mʉ̂a-waan kǎo kùu pǒm	Well, yesterday! Yesterday she threatened me	เมื่อ temporal reference with ก็ emphasis: "Well, it was yesterday!" ก็ adds emphasis to time reference	เมื่อวาน (mʉ̂a-waan): yesterday; ขู่ (kùu): threaten; ไง (ngai): emphasis particle	[sound:Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h26m50s765ms-00h26m54s365ms.ogg]	1.1
"<img src=""Answer for Heaven_S01E05_Jealousy.th.closedcaptions_00h48m22s085ms-00h48m27s445ms.avif"">"	พอเช้าวันรุ่งขึ้น คุณก็รีบกลับมาตรวจสอบว่าเขาเสียชีวิตจริงรึเปล่า	pɔɔ cháo wan-rûng-kʉ̂n kun gɔ̂ɔ rîip glàp maa dtrùuat-sɔ̀ɔp wâa kǎo sǐia-chii-wít jing rʉ́-bplào	As soon as morning came, you hurried back to check if he was really dead	พอ...ก็: Immediate temporal trigger. The moment morning arrived, action followed instantly	วันรุ่งขึ้น (wan-rûng-kʉ̂n): next day/dawn; รีบ (rîip): hurry; ตรวจสอบ (dtrùuat-sɔ̀ɔp): check/verify	[sound:Answer for Heaven_S01E05_Jealousy.th.closedcaptions_00h48m22s085ms-00h48m27s445ms.ogg]	1.1
"<img src=""I Need Romance_S01E07_Episode 7.th.closedcaptions_00h11m25s200ms-00h11m29s320ms.avif"">"	ถึงฉันจะแพ้ยัยคิส ฉันก็ไม่เหนื่อย	tʉ̌ng chǎn jà pɛ́ɛ yai kít chǎn gɔ̂ɔ mâi nʉ̀ai	Even though I lost to Kiss, I'm not tired	ถึง...จะ...ก็: "even if/though...still". Strong concessive showing resilience despite adversity	ถึง (tʉ̌ng): even though; แพ้ (pɛ́ɛ): lose; ยัย (yai): that girl (informal); เหนื่อย (nʉ̀ai): tired	[sound:I Need Romance_S01E07_Episode 7.th.closedcaptions_00h11m25s200ms-00h11m29s320ms.ogg]	1.1
"<img src=""Remember You_S01E03_Missing Evidence.th.closedcaptions_00h31m54s720ms-00h31m57s840ms.avif"">"	นั่นหมายความว่าทีมจะถูกยุบเมื่อไหร่ก็ได้ทันทีที่ทำผิดพลาด	nân mǎai-kwaam wâa tiim jà tùuk yúp mʉ̂a-rài gɔ̂ɔ dâai tan-tii tîi tam pìt-plâat	That means the team can be disbanded anytime if they make a mistake	เมื่อไหร่ก็ได้: "whenever/anytime". Shows uncertainty - could happen at any unspecified time	ยุบ (yúp): disband/dissolve; ทันทีที่ (tan-tii tîi): as soon as; ผิดพลาด (pìt-plâat): mistake	[sound:Remember You_S01E03_Missing Evidence.th.closedcaptions_00h31m54s720ms-00h31m57s840ms.ogg]	1.1
"<img src=""The Bride of Naga_S01E17_Episode 17.th.closedcaptions_00h12m36s280ms-00h12m41s480ms.avif"">"	ไปที่ไหนก็ได้ที่เราจะได้อยู่ด้วยกัน	bpai tîi-nǎi gɔ̂ɔ dâai tîi rao jà dâai yùu dûai gan	Go anywhere we can be together	ที่ไหนก็ได้: "anywhere/wherever". Shows location doesn't matter, flexibility in choice	ที่ไหน (tîi-nǎi): where; อยู่ด้วยกัน (yùu dûai gan): be together	[sound:The Bride of Naga_S01E17_Episode 17.th.closedcaptions_00h12m36s280ms-00h12m41s480ms.ogg]	1.1
"<img src=""The Underclass_S01E07_A Class.th.subtitles_00h47m31s160ms-00h47m35s920ms.avif"">"	ผมจะให้คนที่ปากดีที่บอกว่าตัวเองมีสิทธิ์จะเรียนอะไรก็ได้	pǒm jà hâi kon tîi bpàak-dii tîi bɔ̀ɔk wâa dtua-eeng mii sìt jà riian à-rai gɔ̂ɔ dâai	I'll let the smart-mouth who says she has the right to learn anything	อะไรก็ได้: "anything/whatever". Shows complete freedom of choice in learning	ปากดี (bpàak-dii): smart-mouth/eloquent; สิทธิ์ (sìt): right; เรียน (riian): learn/study	[sound:The Underclass_S01E07_A Class.th.subtitles_00h47m31s160ms-00h47m35s920ms.ogg]	1.1
"<img src=""The Underclass_S01E07_A Class.th.subtitles_00h46m49s520ms-00h46m52s880ms.avif"">"	หนูและเด็กห้องเอฟควรมีสิทธิ์ที่จะได้เรียนอะไรก็ได้	nǔu lɛ́ dèk hɔ̂ng èf kuuan mii sìt tîi jà dâai riian à-rai gɔ̂ɔ dâai	Class F students and I should have the right to learn anything	อะไรก็ได้: Expressing educational rights - "anything" without restriction	ห้องเอฟ (hɔ̂ng èf): Class F; ควร (kuuan): should; สิทธิ์ (sìt): right	[sound:The Underclass_S01E07_A Class.th.subtitles_00h46m49s520ms-00h46m52s880ms.ogg]	1.1
"<img src=""Bangkok Buddies_S01E13_Episode 13.th.subtitles_00h33m42s440ms-00h33m47s000ms.avif"">"	เพื่อนคุณแต่งงานครั้งเดียวในชีวิต แต่คุณไปหาฉันเมื่อไหร่ก็ได้	pʉ̂an kun dtɛ̀ng-ngaan kráng-diiao nai chii-wít dtɛ̀ɛ kun bpai hǎa chǎn mʉ̂a-rài gɔ̂ɔ dâai	Your friend only marries once, but you can visit me anytime	เมื่อไหร่ก็ได้: "anytime/whenever". Shows complete temporal flexibility	แต่งงาน (dtɛ̀ng-ngaan): marry; ครั้งเดียว (kráng-diiao): once	[sound:Bangkok Buddies_S01E13_Episode 13.th.subtitles_00h33m42s440ms-00h33m47s000ms.ogg]	1.1
"<img src=""Oh My Ghost_S01E15_Episode 15.th.closedcaptions_00h35m23s445ms-00h35m25s805ms.avif"">"	หรือที่ไหนก็ได้ที่มันมีเด็กเยอะๆ	rʉ̌ʉ tîi-nǎi gɔ̂ɔ dâai tîi man mii dèk yə́-yə́	Or anywhere there are lots of kids	ที่ไหนก็ได้ + condition: "anywhere (that has X)". Location flexibility with constraint	เยอะๆ (yə́-yə́): lots/many; เด็ก (dèk): children	[sound:Oh My Ghost_S01E15_Episode 15.th.closedcaptions_00h35m23s445ms-00h35m25s805ms.ogg]	1.1
"<img src=""The Bride of Naga_S01E03_Episode 3.th.closedcaptions_00h07m52s200ms-00h07m55s520ms.avif"">"	อย่าคิดว่ามีขนพญาครุฑแล้วจะระรานใครก็ได้	yàa kít wâa mii kǒn pá-yaa krút lɛ́ɛo jà rá-raan krai gɔ̂ɔ dâai	Don't think having Paya Krut feathers means you can harass anyone	ใครก็ได้: "anyone/whoever". Shows warning against universal action	ขนพญาครุฑ (kǒn pá-yaa krút): Garuda feathers; ระราน (rá-raan): harass/oppress	[sound:The Bride of Naga_S01E03_Episode 3.th.closedcaptions_00h07m52s200ms-00h07m55s520ms.ogg]	1.1
"<img src=""Oh My Ghost_S01E05_Episode 5.th.closedcaptions_00h38m26s845ms-00h38m30s165ms.avif"">"	ไบโพลาเป็นโรคที่เกิดขึ้นกับใครก็ได้	bai-poo-laa bpen rôok tîi gə̀ət-kʉ̂n gàp krai gɔ̂ɔ dâai	Bipolar is a disease that can happen to anyone	ใครก็ได้: Universal possibility - "anyone" without exception	ไบโพลา (bai-poo-laa): bipolar; โรค (rôok): disease; เกิดขึ้น (gə̀ət-kʉ̂n): happen/occur	[sound:Oh My Ghost_S01E05_Episode 5.th.closedcaptions_00h38m26s845ms-00h38m30s165ms.ogg]	1.1
"<img src=""Love Destiny_S02E12_Episode 12.th.closedcaptions_00h36m05s400ms-00h36m08s760ms.avif"">"	จะเอากี่ยก จะเอาที่ไหนก็ได้	jà ao gìi yók jà ao tîi-nǎi gɔ̂ɔ dâai	Any rounds, anywhere you want	กี่...ก็ได้, ที่ไหนก็ได้: Double pattern - "any number" and "anywhere"	กี่ยก (gìi yók): how many rounds; เอา (ao): take/fight (slang)	[sound:Love Destiny_S02E12_Episode 12.th.closedcaptions_00h36m05s400ms-00h36m08s760ms.ogg]	1.1
"<img src=""Love Destiny_S02E02_Episode 2.th.closedcaptions_00h05m40s520ms-00h05m43s440ms.avif"">"	จะแล่เนื้อเถือหนังยังไงก็ได้	jà lɛ̂ɛ nʉ́a tʉ̌ʉa nǎng yang-ngai gɔ̂ɔ dâai	Can butcher us however they want	ยังไงก็ได้: "however/any way". Shows complete manner indifference	แล่ (lɛ̂ɛ): butcher/slice; เนื้อเถือหนัง (nʉ́a tʉ̌ʉa nǎng): flesh and skin	[sound:Love Destiny_S02E02_Episode 2.th.closedcaptions_00h05m40s520ms-00h05m43s440ms.ogg]	1.1
"<img src=""Girl from Nowhere_S02E04_Yuri.th.closedcaptions_00h34m51s159ms-00h34m54s679ms.avif"">"	พวกมึงจะทำมันกี่ครั้งก็ได้	pûak mʉng jà tam man gìi kráng gɔ̂ɔ dâai	You guys can do it as many times as you want	กี่ครั้งก็ได้: "any number of times". Shows unlimited repetition allowed	กี่ครั้ง (gìi kráng): how many times; พวกมึง (pûak mʉng): you guys (vulgar)	[sound:Girl from Nowhere_S02E04_Yuri.th.closedcaptions_00h34m51s159ms-00h34m54s679ms.ogg]	1.1
"<img src=""The Bride of Naga_S01E14_Episode 14.th.closedcaptions_00h51m24s880ms-00h51m27s760ms.avif"">"	กูจะทำอะไรก็ได้ที่กูอยากทำ	guu jà tam à-rai gɔ̂ɔ dâai tîi guu yàak tam	I can do whatever I want to do	อะไรก็ได้ที่: "whatever/anything that". Shows freedom with personal desire	อยากทำ (yàak tam): want to do	[sound:The Bride of Naga_S01E14_Episode 14.th.closedcaptions_00h51m24s880ms-00h51m27s760ms.ogg]	1.1
"<img src=""The Underclass_S01E03_Test for Newbie.th.subtitles_00h12m00s200ms-00h12m03s800ms.avif"">"	สถานที่ที่วัยรุ่นสามารถทำอะไรก็ได้ที่ตัวเองสนใจ	sà-tǎan-tîi tîi wai-rûn sǎa-mâat tam à-rai gɔ̂ɔ dâai tîi dtua-eeng sǒn-jai	A place where teens can do anything they're interested in	อะไรก็ได้ที่สนใจ: "anything of interest". Freedom within personal interest	วัยรุ่น (wai-rûn): teenager; สนใจ (sǒn-jai): interested	[sound:The Underclass_S01E03_Test for Newbie.th.subtitles_00h12m00s200ms-00h12m03s800ms.ogg]	1.1
"<img src=""I Need Romance_S01E16_Episode 16.th.closedcaptions_00h14m56s240ms-00h14m59s520ms.avif"">"	คุณบอกเองว่าคุณอาจจะเผ่นเมื่อไหร่ก็ได้	kun bɔ̀ɔk eeng wâa kun àat jà pèn mʉ̂a-rài gɔ̂ɔ dâai	You said yourself you might run away anytime	เมื่อไหร่ก็ได้: Unpredictability - "anytime" showing uncertain future action	เผ่น (pèn): run away/flee; อาจจะ (àat jà): might/may	[sound:I Need Romance_S01E16_Episode 16.th.closedcaptions_00h14m56s240ms-00h14m59s520ms.ogg]	1.1
"<img src=""Analog Squad_S01E02_Let's make a trip.th.closedcaptions_00h35m31s666ms-00h35m34s625ms.avif"">"	การโกหกเพื่อให้คนอื่นมีความสุข มันก็ได้เหมือนกัน	gaan goo-hòk pʉ̂a hâi kon ʉ̀ʉn mii kwaam-sùk man gɔ̂ɔ dâai mʉ̌an gan	Lying to make others happy, that's okay too	ก็ได้เหมือนกัน: "also acceptable/okay too". Shows moral flexibility	โกหก (goo-hòk): lie; ความสุข (kwaam-sùk): happiness	[sound:Analog Squad_S01E02_Let's make a trip.th.closedcaptions_00h35m31s666ms-00h35m34s625ms.ogg]	1.1
"<img src=""Oh My Ghost_S01E02_Episode 2.th.closedcaptions_00h54m47s565ms-00h54m52s245ms.avif"">"	นี่เพิ่งหาย ก็เลยอยากมากินข้าวแกงกะหรี่เนื้อ	nîi pə̂ng hǎai gɔ̂ɔ-ləəi yàak maa gin kâao-gɛɛng-gà-rìi nʉ́a	I just recovered so I want to eat beef curry	ก็เลย: "so/therefore". Shows consequence - recovered SO wants to eat. Natural result pattern	เพิ่งหาย (pə̂ng hǎai): just recovered; แกงกะหรี่ (gɛɛng-gà-rìi): curry	[sound:Oh My Ghost_S01E02_Episode 2.th.closedcaptions_00h54m47s565ms-00h54m52s245ms.ogg]	1.1
"<img src=""Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h09m36s245ms-00h09m40s245ms.avif"">"	จิ๋วก็เลยอาสาทำสปาเกตตีคั่วพริกแห้งไก่	jǐu gɔ̂ɔ-ləəi aa-sǎa tam sà-bpaa-gèt-dtìi kûa prík-hɛ̂ɛng gài	So Jiw volunteered to make spaghetti with dried chili chicken	ก็เลย showing result: Someone needed to cook, SO Jiw volunteered. Cause-effect chain	อาสา (aa-sǎa): volunteer; คั่ว (kûa): stir-fry; พริกแห้ง (prík-hɛ̂ɛng): dried chili	[sound:Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h09m36s245ms-00h09m40s245ms.ogg]	1.1
"<img src=""The Love of Siam 2007 - H264 AAC.th.subtitles_01h14m21s600ms-01h14m26s720ms.avif"">"	ก็พอดีความจำเสื่อม ก็เลยจำทางกลับบ้านไม่ได้	gɔ̂ɔ pɔɔ-dii kwaam-jam sʉ̀am gɔ̂ɔ-ləəi jam taang glàp bâan mâi dâai	I happened to have amnesia, so I couldn't remember the way home	ก็เลย: Medical cause → consequence. Shows logical result of condition	ความจำเสื่อม (kwaam-jam sʉ̀am): amnesia/memory loss; พอดี (pɔɔ-dii): happen to	[sound:The Love of Siam 2007 - H264 AAC.th.subtitles_01h14m21s600ms-01h14m26s720ms.ogg]	1.1
"<img src=""Fast & Feel Love 2022 - H264 AAC.th.subtitles_00h36m12s500ms-00h36m16s041ms.avif"">"	มึงจะมาอยู่คอร์ทกูกี่วัน ก็แล้วแต่มึง	mʉng jà maa yùu kɔ́ɔt guu gìi wan gɔ̂ɔ lɛ́ɛo-dtɛ̀ɛ mʉng	How many days will you stay at my court? Up to you	ก็แล้วแต่: "it depends/up to you". Shows decision left to other person	คอร์ท (kɔ́ɔt): court (sports); กี่วัน (gìi wan): how many days	[sound:Fast & Feel Love 2022 - H264 AAC.th.subtitles_00h36m12s500ms-00h36m16s041ms.ogg]	1.1
"<img src=""Analog Squad_S01E03_Some kind of secrets.th.closedcaptions_00h25m29s958ms-00h25m32s625ms.avif"">"	เงินเธอ เธอจะทำอะไรก็แล้วแต่เธอ	ngəən təə təə jà tam à-rai gɔ̂ɔ lɛ́ɛo-dtɛ̀ɛ təə	It's your money, do whatever you want	ก็แล้วแต่ + pronoun: "up to (person)". Complete freedom of choice given	เงิน (ngəən): money	[sound:Analog Squad_S01E03_Some kind of secrets.th.closedcaptions_00h25m29s958ms-00h25m32s625ms.ogg]	1.1
"<img src=""The Underclass_S01E07_A Class.th.subtitles_00h16m18s480ms-00h16m19s600ms.avif"">"	ก็แล้วแต่นะ	gɔ̂ɔ lɛ́ɛo-dtɛ̀ɛ ná	It's up to you	ก็แล้วแต่ standalone: Pure "it depends" without specifying on what. Casual resignation	นะ (ná): softening particle	[sound:The Underclass_S01E07_A Class.th.subtitles_00h16m18s480ms-00h16m19s600ms.ogg]	1.1
